,0,Datas,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
1,Ativo Total,391021101.056,366869544.96,366875541.504,341714862.08,342278569.984,339647168.512,313706512.384,328096710.656,323424878.592,325210832.896,326375833.6,322696151.04,331396972.544,324097212.416,339061506.048,345549438.976,393410183.168,333058113.536,335397748.736,309415510.016,301095321.6,283575615.488,288843137.024,291880304.64,292741349.376,282120945.664,268785156.096,266921639.936,272265084.928,253501358.08,242568101.888,241783111.68,239097331.712,222235607.04,217320210.432,214662119.424,209939415.04,199471972.352,184338169.856,175739060.224,175305572.352,171268096
2,Ativo Circulante,76985671.68,60989087.744,58742235.136,59256115.2,60585832.448,59639296,50650169.344,62700728.32,63005552.64,65705127.936,71044399.104,73547194.368,63324413.952,58654842.88,61304864.768,60417699.84,70324568.064,56057188.352,56786952.192,53744762.88,52123545.6,49724833.792,52027392,57104707.584,55177932.8,46937423.872,46178553.856,46039617.536,50607919.104,41205526.528,40794046.464,42095214.592,50422067.2,50617757.696,46568992.768,54267830.272,54095454.208,46563696.64,39787491.328,38257233.92,42286727.168,41039151.104
3,Caixa e Equivalentes de Caixa,35644436.48,23176175.616,19512944.64,22412548.096,24424372.224,24557352.96,17841260.544,14317519.872,14949024.768,18922164.224,21278971.904,13890590.72,17427892.224,13376977.92,13461075.968,14021703.68,17470156.8,9798673.408,11817819.136,10555340.8,19318728.704,15560230.912,16252338.176,12465248.256,15878773.76,13126349.824,12197111.808,11917717.504,16105086.976,8117668.864,9010805.76,7457928.192,14674488.32,21323360.256,19138881.536,13468957.696,16949476.352,11847271.424,20266872.832,13220598.784,15560596.48,16332857.344
4,Aplicações Financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387282.944,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Contas a Receber,10764047.36,12692306.944,10729877.504,11669972.992,11150082.048,10350142.464,9919506.432,14879422.464,15288916.992,12348568.576,16317322.24,12169421.824,8513923.072,8089375.744,9443405.824,6036035.072,9417138.176,9867581.44,9024991.232,10236911.616,8931755.008,10705905.664,10910613.504,13971365.888,13898532.864,12885694.464,13152253.952,14670865.408,14020866.048,14670203.904,14324738.048,16304722.944,16645069.824,13350412.288,12815632.384,14052471.808,13344035.84,11057996.8,7255917.056,5888848.896,6247201.792,5690388.992
6,Estoques,19276972.032,18105004.032,19129780.224,17215948.8,16238472.192,15417621.504,13184349.184,12987174.912,12934090.752,12782915.584,11537018.88,10913419.264,12658886.656,12409307.136,13526600.704,13774724.096,15128692.736,13740323.84,13036798.976,11955664.896,11829465.088,10980854.784,10757454.848,9662410.752,10171282.432,11192220.672,10884789.248,10319973.376,10434050.048,10501883.904,10155594.752,10351084.544,9983148.032,8762906.624,8310414.848,7592024.064,7773317.12,7369144.832,6395000.832,5913024,6934086.144,8204775.936
7,Ativos Biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tributos a Recuperar,4999598.08,4570655.232,6839683.072,5525300.224,6382340.096,6478244.864,5907420.16,6459817.984,4618549.248,5024372.224,5153776.128,5814723.072,6233863.168,6676869.12,7643810.816,8995055.616,9010814.976,8379347.968,9083258.88,8714768.384,7250249.216,6175334.912,7300049.92,9261746.176,4617142.784,5188085.248,4660873.216,4619900.928,3627826.944,4309765.12,3622274.048,4317177.856,3999774.976,3524295.936,2926240,2795557.12,0,0,0,0,0,0
9,Despesas Antecipadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Outros Ativos Circulantes,6300616.192,2444946.944,2529953.024,2432347.904,2390565.12,2835934.976,3797633.024,14056793.088,15214967.808,16627107.84,16757313.536,30759036.928,18489847.808,18102315.008,17229967.36,17590179.84,19297767.424,14271262.72,13824082.944,12282078.208,4793344,6302507.008,6806935.04,11743936.512,10612199.424,4545073.152,5283522.048,4511160.832,5032807.936,3606003.968,3680634.112,3664302.08,5119586.816,3656780.032,3377824,16358822.912,16028627.968,16289283.072,5869704.192,13234759.68,13544845.312,10811128.832
11,Ativo Realizável a Longo Prazo,63438528.512,66773213.184,67650007.04,51631833.088,47987572.736,48945807.36,42150096.896,43965382.656,42503045.12,42903199.744,41584537.6,34092439.552,34144940.032,34866520.064,38102114.304,41601646.592,43127705.6,23131232.256,23425325.056,19071660.032,21206812.672,18381875.2,19180316.672,18974756.864,23145592.832,21125699.584,16043283.456,15560930.304,12040270.848,10959810.56,10909032.448,10913071.104,11011599.36,8714355.712,10044401.664,8088196.096,8869291.008,8857529.344,10769717.248,7604665.856,6308807.168,6532902.912
12,Aplicações Financeiras Avaliadas a Valor Justo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
